2010/1/14,1700,BURGLARY,49,F,,,800    WILSHIRE                     BL,"(34.0494, -118.2581)"
2010/3/14,1450,BATTERY POLICE (SIMPLE),,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5TH                          ST,"(34.0446, -118.245)"
2010/4/14,1545,BATTERY - SIMPLE ASSAULT,47,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6TH,"(34.0428, -118.2461)"
2010/6/14,1437,WEAPONS POSSESSION/BOMBING,44,F,511,VERBAL THREAT,400 N  GRAND                        AV,"(34.0594, -118.2452)"
2010/8/14,1635,SHOPLIFTING - PETTY THEFT ($950 & UNDER),21,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2010/8/14,1845,BATTERY - SIMPLE ASSAULT,47,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 S  OLIVE                        ST,"(34.0467, -118.2556)"
2010/8/14,2220,BATTERY - SIMPLE ASSAULT,31,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1100 S  FIGUEROA                     ST,"(34.0437, -118.2652)"
2010/9/14,1740,THEFT PLAIN - PETTY ($950 & UNDER),,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2010/12/14,145,BATTERY - SIMPLE ASSAULT,41,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",100 W  2ND                          ST,"(34.051, -118.2445)"
2010/12/14,100,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,M,500,UNKNOWN WEAPON/OTHER WEAPON,6TH,"(34.0423, -118.2452)"
2010/12/13,800,BATTERY - SIMPLE ASSAULT,60,M,500,UNKNOWN WEAPON/OTHER WEAPON,6TH                          ST,"(34.0423, -118.2452)"
2010/12/13,1100,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",48,M,,,800 S  SPRING                       ST,"(34.0431, -118.2536)"
2010/11/13,1,OTHER MISCELLANEOUS CRIME,51,M,,,200 E  6TH                          ST,"(34.0446, -118.249)"
2010/3/13,2359,OTHER MISCELLANEOUS CRIME,47,M,,,200 E  6TH                          ST,"(34.0446, -118.249)"
2010/1/13,1300,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",85,F,,,100    BLOOM                        ST,"(34.0652, -118.2306)"
2010/2/13,30,ROBBERY,38,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",200 E  7TH                          ST,"(34.0433, -118.2504)"
2010/1/13,1150,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",44,M,,,500 W  6TH                          ST,"(34.0481, -118.2542)"
2010/1/14,100,ROBBERY,68,M,207,OTHER KNIFE,6TH,"(34.0398, -118.2413)"
2010/1/14,200,ARSON,36,F,506,FIRE,600 S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
2010/1/14,815,THEFT PLAIN - PETTY ($950 & UNDER),16,M,,,400 N  GRAND                        AV,"(34.0594, -118.2452)"
2010/1/14,1130,OTHER MISCELLANEOUS CRIME,52,M,,,1700    SANTEE                       ST,"(34.0312, -118.2615)"
2010/1/14,1035,BATTERY - SIMPLE ASSAULT,58,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4TH                          ST,"(34.0454, -118.2422)"
2010/1/14,1600,THEFT PLAIN - PETTY ($950 & UNDER),62,M,,,5TH,"(34.0502, -118.254)"
2010/1/14,1200,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29,M,216,SCISSORS,200 W  14TH                         ST,"(34.0361, -118.2634)"
2010/1/14,850,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",53,M,,,500    SAN JULIAN                   ST,"(34.0446, -118.245)"
2010/1/14,1400,BATTERY WITH SEXUAL CONTACT,39,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 W  7TH                          ST,"(34.0487, -118.2588)"
2010/1/14,1920,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",28,F,,,8TH,"(34.0445, -118.2558)"
2010/1/14,1120,BATTERY - SIMPLE ASSAULT,28,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
2010/1/14,1830,INTIMATE PARTNER - SIMPLE ASSAULT,,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",900 N  BEAUDRY                      AV,"(34.0674, -118.2468)"
2010/1/14,1940,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",64,M,207,OTHER KNIFE,1ST,"(34.0544, -118.2466)"
2010/1/14,2135,BATTERY - SIMPLE ASSAULT,37,M,500,UNKNOWN WEAPON/OTHER WEAPON,500 S  BROADWAY,"(34.0481, -118.2507)"
2010/1/14,2030,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",,M,,,500 S  MAIN                         ST,"(34.0467, -118.2485)"
2010/1/14,1855,THEFT PLAIN - PETTY ($950 & UNDER),25,M,,,SPRING                       ST,"(34.0549, -118.2426)"
2010/1/14,1820,OTHER MISCELLANEOUS CRIME,,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7TH                          ST,"(34.0407, -118.2468)"
2010/1/14,700,VANDALISM - MISDEAMEANOR ($399 OR UNDER),54,F,,,700 S  HILL                         ST,"(34.0459, -118.2545)"
2010/2/14,1000,THEFT PLAIN - PETTY ($950 & UNDER),49,M,,,5TH,"(34.0481, -118.2507)"
2010/2/14,1000,THEFT PLAIN - PETTY ($950 & UNDER),49,M,,,600 S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
2010/2/14,1205,ROBBERY,76,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",300 E  1ST                          ST,"(34.0504, -118.2409)"
2010/2/14,1045,OTHER MISCELLANEOUS CRIME,33,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",100 W  9TH                          ST,"(34.0416, -118.255)"
2010/2/14,1030,CRIMINAL THREATS - NO WEAPON DISPLAYED,29,M,511,VERBAL THREAT,600 S  SPRING                       ST,"(34.046, -118.2509)"
2010/2/14,1430,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",27,F,,,500 S  OLIVE                        ST,"(34.0495, -118.2529)"
2010/2/14,1315,SHOTS FIRED AT INHABITED DWELLING,44,M,106,UNKNOWN FIREARM,1000 S  BROADWAY,"(34.0409, -118.2574)"
2010/2/14,1220,SHOPLIFTING - PETTY THEFT ($950 & UNDER),21,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2010/2/14,1900,BATTERY POLICE (SIMPLE),13,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7TH,"(34.0452, -118.2534)"
2010/2/14,1930,VEHICLE - STOLEN,13,,,,7TH,"(34.0349, -118.2386)"
2010/2/14,1201,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",13,F,,,900 W  OLYMPIC                      BL,"(34.0454, -118.2657)"
2010/2/14,2100,VIOLATION OF COURT ORDER,60,F,,,5TH                          ST,"(34.0446, -118.245)"
2010/2/14,1730,BATTERY - SIMPLE ASSAULT,49,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6TH                          ST,"(34.0428, -118.2461)"
2010/2/14,2115,INTIMATE PARTNER - SIMPLE ASSAULT,60,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
2010/3/14,10,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,207,OTHER KNIFE,5TH                          ST,"(34.043, -118.242)"
2010/3/14,220,BATTERY - SIMPLE ASSAULT,49,M,512,MACE/PEPPER SPRAY,800 S  CECILIA                      ST,"(33.9564, -118.1586)"
2010/3/14,400,COUNTERFEIT,20,F,,,2ND                          ST,"(34.0472, -118.2381)"
2010/2/14,1815,BRANDISH WEAPON,61,M,207,OTHER KNIFE,6TH                          ST,"(34.0428, -118.2461)"
2010/3/14,1045,OTHER MISCELLANEOUS CRIME,,M,,,300 N  LOS ANGELES                  ST,"(34.0534, -118.2409)"
2010/3/14,1335,DISHONEST EMPLOYEE - PETTY THEFT,44,M,,,500 S  FLOWER                       ST,"(34.0516, -118.2561)"
2010/2/14,2200,THEFT OF IDENTITY,55,M,,,400 S  MAIN                         ST,"(34.0482, -118.2472)"
