2011/1/14,1150,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,500,UNKNOWN WEAPON/OTHER WEAPON,5TH,"(34.0446, -118.245)"
2011/1/14,725,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,F,212,BOTTLE,7TH,"(34.048, -118.2577)"
2011/1/14,1430,VEHICLE - STOLEN,13,,,,OMAR                         ST,"(34.0467, -118.2411)"
2011/1/14,1400,ROBBERY,40,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7TH,"(34.0433, -118.2504)"
2011/1/14,1815,OTHER MISCELLANEOUS CRIME,,M,,,18TH,"(34.031, -118.2602)"
2011/1/14,1530,OTHER MISCELLANEOUS CRIME,27,F,,,800 S  HILL                         ST,"(34.0445, -118.2558)"
2011/1/14,1120,VIOLATION OF COURT ORDER,11,F,,,WHITE KNOLL,"(34.0703, -118.2464)"
2011/1/14,2115,BATTERY - SIMPLE ASSAULT,25,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1300 S  HOPE                         ST,"(34.0395, -118.2656)"
2011/1/14,250,ROBBERY,33,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",300 E  5TH                          ST,"(34.0449, -118.2458)"
2011/1/14,1510,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",26,M,,,1200 S  FIGUEROA                     ST,"(34.0423, -118.2666)"
2011/1/14,30,BATTERY - SIMPLE ASSAULT,68,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  SPRING                       ST,"(34.0474, -118.2496)"
2011/2/14,450,"BURGLARY, ATTEMPTED",20,F,,,600 S  SPRING                       ST,"(34.046, -118.2509)"
2011/1/14,2040,TRESPASSING,49,M,,,1200    FACTORY                      PL,"(34.0391, -118.2384)"
2011/2/14,100,ROBBERY,23,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",OLIVE                        ST,"(34.0452, -118.2569)"
2011/1/14,1730,ROBBERY,61,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7TH,"(34.0347, -118.2345)"
2011/1/14,2100,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",30,M,,,400    BOYD                         ST,"(34.0466, -118.2427)"
2011/2/14,1030,BATTERY - SIMPLE ASSAULT,86,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500    CROCKER                      ST,"(34.0435, -118.2427)"
2011/2/14,1050,ROBBERY,23,M,512,MACE/PEPPER SPRAY,6TH,"(34.0423, -118.2452)"
2011/1/14,200,BATTERY - SIMPLE ASSAULT,28,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  BROADWAY,"(34.0467, -118.252)"
2011/2/14,1845,ROBBERY,55,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6TH,"(34.0435, -118.2471)"
2011/2/14,1730,SHOPLIFTING - PETTY THEFT ($950 & UNDER),22,F,,,700 W  7TH                          ST,"(34.048, -118.2577)"
2011/2/14,1630,TRESPASSING,45,M,,,900 W  OLYMPIC                      BL,"(34.0454, -118.2657)"
2011/3/14,30,INTIMATE PARTNER - AGGRAVATED ASSAULT,35,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  BROADWAY,"(34.0481, -118.2507)"
2011/3/14,303,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",62,M,,,500 W  7TH                          ST,"(34.0467, -118.2556)"
2011/2/14,2000,INTIMATE PARTNER - SIMPLE ASSAULT,21,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 S  GRAND                        AV,"(34.0459, -118.2579)"
2011/2/14,1130,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),27,F,,,1100 S  FLOWER                       ST,"(34.043, -118.2641)"
2011/2/14,1400,BATTERY - SIMPLE ASSAULT,31,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",TOWNE                        AV,"(34.043, -118.242)"
2011/3/14,835,VANDALISM - MISDEAMEANOR ($399 OR UNDER),50,F,,,500    SAN JULIAN                   ST,"(34.0446, -118.245)"
2011/3/14,1040,VIOLATION OF RESTRAINING ORDER,45,M,,,100 S  OLIVE                        ST,"(34.055, -118.2477)"
2011/3/14,800,SHOPLIFTING - PETTY THEFT ($950 & UNDER),42,F,,,600 W  7TH                          ST,"(34.0473, -118.2566)"
2011/1/14,1730,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",37,F,,,900 S  LOS ANGELES                  ST,"(34.0407, -118.2541)"
2011/3/14,2000,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",100    BLOOM                        ST,"(34.0652, -118.2306)"
2011/3/14,1430,SHOPLIFTING - PETTY THEFT ($950 & UNDER),33,M,,,500 S  BROADWAY,"(34.0481, -118.2507)"
2011/3/14,1400,TRESPASSING,13,M,,,300 S  BROADWAY,"(34.051, -118.248)"
2011/3/14,1045,BATTERY - SIMPLE ASSAULT,39,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",200 E  PICO                         BL,"(34.0357, -118.2593)"
2011/3/14,1045,BATTERY - SIMPLE ASSAULT,38,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",200 E  PICO                         BL,"(34.0357, -118.2593)"
2011/3/14,2330,TRESPASSING,,M,,,200 E  6TH                          ST,"(34.0446, -118.249)"
2011/2/14,2100,BURGLARY,,M,,,500 W  7TH                          ST,"(34.0467, -118.2556)"
2011/2/14,5,BATTERY - SIMPLE ASSAULT,24,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",9TH                          ST,"(34.0423, -118.2561)"
2011/3/14,1340,THEFT PLAIN - PETTY ($950 & UNDER),94,M,,,500 S  BROADWAY,"(34.0481, -118.2507)"
2011/3/14,225,ROBBERY,57,M,207,OTHER KNIFE,7TH                          ST,"(34.0364, -118.2406)"
