2012/1/14,650,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,500,UNKNOWN WEAPON/OTHER WEAPON,8TH,"(34.0438, -118.2547)"
2012/1/14,530,CRIMINAL THREATS - NO WEAPON DISPLAYED,51,F,,,300 E  1ST                          ST,"(34.0504, -118.2409)"
2012/1/14,1010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,F,200,KNIFE WITH BLADE 6INCHES OR LESS,8TH                          ST,"(34.0387, -118.2488)"
2012/1/14,915,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,,,500 S  SAN PEDRO                    ST,"(34.0442, -118.2439)"
2012/1/14,700,THEFT FROM PERSON - ATTEMPT,59,M,,,5TH                          ST,"(34.0435, -118.2427)"
2012/1/14,735,BATTERY - SIMPLE ASSAULT,72,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  SAN PEDRO                    ST,"(34.0442, -118.2439)"
2012/1/14,800,OTHER MISCELLANEOUS CRIME,31,M,,,300 E  5TH                          ST,"(34.0449, -118.2458)"
2012/1/14,1330,"BUNCO, PETTY THEFT",42,F,,,400 E  7TH                          ST,"(34.0419, -118.2485)"
2012/1/14,1442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),21,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2012/1/14,1250,PEEPING TOM,16,M,,,400 N  GRAND                        AV,"(34.0594, -118.2452)"
2012/1/14,1140,BATTERY - SIMPLE ASSAULT,23,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5TH,"(34.0481, -118.2507)"
2012/1/14,1140,BATTERY - SIMPLE ASSAULT,28,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5TH,"(34.0481, -118.2507)"
2012/1/14,1750,ROBBERY,40,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7TH,"(34.048, -118.2577)"
2012/1/14,2015,SHOPLIFTING - PETTY THEFT ($950 & UNDER),21,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2012/1/14,1100,ROBBERY,20,F,200,KNIFE WITH BLADE 6INCHES OR LESS,FLOWER,"(34.0338, -118.2708)"
2012/2/14,220,BURGLARY,42,M,,,400 S  BROADWAY,"(34.0495, -118.2494)"
2012/2/14,30,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2012/2/14,300,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,,,200 S  BROADWAY,"(34.0524, -118.2467)"
2012/2/14,1300,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  SAN PEDRO                    ST,"(34.0442, -118.2439)"
2012/1/14,800,BURGLARY,35,F,,,600 S  FIGUEROA                     ST,"(34.0509, -118.2585)"
2012/2/14,1000,"THEFT, PERSON",55,M,,,4TH                          ST,"(34.0488, -118.2483)"
2012/2/14,1320,THEFT PLAIN - PETTY ($950 & UNDER),62,M,,,400 E  7TH                          ST,"(34.0419, -118.2485)"
2012/2/14,1307,BATTERY - SIMPLE ASSAULT,16,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400 N  GRAND                        AV,"(34.0594, -118.2452)"
2012/2/14,2010,THEFT PLAIN - PETTY ($950 & UNDER),37,F,,,800 N  ALAMEDA                      ST,"(34.0563, -118.2374)"
2012/1/14,1930,ROBBERY,26,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 W  7TH                          ST,"(34.048, -118.2577)"
2012/2/14,1745,BATTERY - SIMPLE ASSAULT,28,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
2012/2/14,1850,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",54,F,205,KITCHEN KNIFE,600    WALL                         ST,"(34.0435, -118.2471)"
2012/2/14,1821,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,M,500,UNKNOWN WEAPON/OTHER WEAPON,500 S  SAN PEDRO                    ST,"(34.0442, -118.2439)"
2012/1/14,2200,THEFT PLAIN - PETTY ($950 & UNDER),49,F,,,1100 S  FIGUEROA                     ST,"(34.0437, -118.2652)"
2012/3/14,1300,BATTERY - SIMPLE ASSAULT,28,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5TH                          ST,"(34.0495, -118.2529)"
2012/1/14,1327,TRESPASSING,,M,,,800 W  OLYMPIC                      BL,"(34.045, -118.264)"
2012/3/14,620,BATTERY - SIMPLE ASSAULT,33,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  ALAMEDA                      ST,"(34.0382, -118.2384)"
2012/3/14,845,BIKE - STOLEN,22,M,,,7TH                          ST,"(34.0174, -118.4908)"
2012/2/14,2300,THEFT PLAIN - PETTY ($950 & UNDER),25,F,,,400 W  8TH                          ST,"(34.0445, -118.2558)"
2012/4/14,100,BURGLARY,54,F,,,700 S  BROADWAY,"(34.0452, -118.2534)"
2012/3/14,2340,BATTERY - SIMPLE ASSAULT,34,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 W  7TH                          ST,"(34.0487, -118.2588)"
2012/3/14,1830,BURGLARY,34,M,,,600 N  FIGUEROA                     ST,"(34.0627, -118.2463)"
2012/2/14,1800,BIKE - STOLEN,47,M,,,800 S  LOS ANGELES                  ST,"(34.0419, -118.2523)"
2012/2/14,5,BURGLARY FROM VEHICLE,27,F,,,300 W  3RD                          ST,"(34.051, -118.248)"
2012/4/14,140,BATTERY WITH SEXUAL CONTACT,29,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 W  7TH                          ST,"(34.0487, -118.2588)"
2012/3/14,2000,BURGLARY FROM VEHICLE,57,M,,,400 S  SAN PEDRO                    ST,"(34.0458, -118.243)"
2012/3/14,1700,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),53,M,,,800 W  6TH                          ST,"(34.0502, -118.2574)"
2012/3/14,1745,THEFT PLAIN - PETTY ($950 & UNDER),34,F,,,600 S  HILL                         ST,"(34.0474, -118.2531)"
2012/3/14,2300,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),26,M,,,3RD,"(34.0455, -118.2381)"
2012/3/14,1200,THEFT PLAIN - PETTY ($950 & UNDER),60,M,,,500    CERES                        AV,"(34.0416, -118.2398)"
2012/4/14,1105,TRESPASSING,37,M,,,800 S  BROADWAY,"(34.0438, -118.2547)"
